number,value,datetime_start,datetime_complete,duration,params_acceleration_down,params_acceleration_up,params_interval,params_lower_rsi,params_lowess_fraction,params_rsi_window,params_upper_rsi,params_velocity_down,params_velocity_up,state
11,0.8687007845530432,2022-09-24 13:17:28.810680,2022-09-24 13:17:29.491000,0 days 00:00:00.680320,-0.75,0.45,12h,40,20,40,55,-1.0,0.35000000000000003,COMPLETE
5,0.6944082539670385,2022-09-24 13:17:23.872873,2022-09-24 13:17:25.301044,0 days 00:00:01.428171,-0.25,0.3,1h,40,50,50,70,-0.9,0.15000000000000002,COMPLETE
13,0.5345430843340225,2022-09-24 13:17:30.179399,2022-09-24 13:17:30.863388,0 days 00:00:00.683989,-0.8,0.4,2h,35,40,35,55,-0.85,0.2,COMPLETE
4,0.45362182333738577,2022-09-24 13:17:23.528752,2022-09-24 13:17:23.872498,0 days 00:00:00.343746,-0.95,0.6000000000000001,4h,40,25,40,55,-0.6,0.6000000000000001,COMPLETE
12,0.43019379744617625,2022-09-24 13:17:29.491434,2022-09-24 13:17:30.179000,0 days 00:00:00.687566,-0.75,0.4,2h,35,45,40,70,-1.0,0.25,COMPLETE
7,0.24563251460017277,2022-09-24 13:17:26.651946,2022-09-24 13:17:28.114743,0 days 00:00:01.462797,-0.9,0.15000000000000002,1h,35,30,30,85,-0.05,0.6500000000000001,COMPLETE
9,0.06756722840653619,2022-09-24 13:17:28.241314,2022-09-24 13:17:28.559910,0 days 00:00:00.318596,-1.0,0.55,4h,30,55,10,90,-0.19999999999999996,0.3,COMPLETE
10,0.06241570024579124,2022-09-24 13:17:28.560321,2022-09-24 13:17:28.810316,0 days 00:00:00.249995,-0.3999999999999999,1.0,6h,40,40,30,65,-0.95,0.05,COMPLETE
0,0.0,2022-09-24 13:17:18.819887,2022-09-24 13:17:22.598711,0 days 00:00:03.778824,-0.55,0.7000000000000001,4h,15,50,15,80,-0.75,0.7000000000000001,COMPLETE
1,0.0,2022-09-24 13:17:22.599111,2022-09-24 13:17:23.044627,0 days 00:00:00.445516,-0.6,0.4,4h,25,60,50,60,-0.6499999999999999,0.55,COMPLETE
2,0.0,2022-09-24 13:17:23.044989,2022-09-24 13:17:23.391550,0 days 00:00:00.346561,-0.09999999999999998,0.2,4h,15,20,40,85,-0.7,0.35000000000000003,COMPLETE
3,0.0,2022-09-24 13:17:23.391968,2022-09-24 13:17:23.528396,0 days 00:00:00.136428,-0.29999999999999993,0.05,12h,15,35,15,75,-0.35,0.9000000000000001,COMPLETE
6,0.0,2022-09-24 13:17:25.301456,2022-09-24 13:17:26.651531,0 days 00:00:01.350075,-0.25,0.8,1h,15,55,45,85,-0.6,0.05,COMPLETE
8,0.0,2022-09-24 13:17:28.115152,2022-09-24 13:17:28.240929,0 days 00:00:00.125777,-0.19999999999999996,0.2,12h,15,50,50,85,-0.19999999999999996,0.9000000000000001,COMPLETE
